setter_username,name,description,matching,angle,benchmark_difficulty,frames
tensionclimbing,Tremolo,No matching,1,40,14,p305r5p462r6p480r6p484r8p490r6p498r8p515r8p532r6p543r8p579r8p683r6p701r8p715r6p786r7
tensionclimbing,Tremolo,No matching,1,45,16,p305r5p462r6p480r6p484r8p490r6p498r8p515r8p532r6p543r8p579r8p683r6p701r8p715r6p786r7
tensionclimbing,Moondance,No matching,1,35,12,p306r8p470r8p476r8p485r8p692r6p697r5p722r5p725r7p739r6p749r8
tensionclimbing,Wholeberry,No matching,1,35,13,p439r5p447r8p476r8p478r8p480r6p484r8p485r8p500r6p561r5p695r6p697r6p701r8p707r6p711r7p724r6p726r6
tensionclimbing,Wayward Son,No Matching,1,35,14,p306r8p470r8p476r8p485r8p692r6p697r5p722r5p725r6p726r6p739r6p742r8p749r8p758r7
tensionclimbing,Wayward Son,No Matching,1,40,13,p306r8p470r8p476r8p485r8p692r6p697r5p722r5p725r6p726r6p739r6p742r8p749r8p758r7
tensionclimbing,How You Remind Me,,0,45,23,p582r5p589r7p619r8p631r6p645r6p662r6p665r8
tensionclimbing,Doomscroll,No matching,1,25,11,p344r6p348r8p356r6p362r6p366r8p367r8p372r6p374r7p380r5p382r6
tensionclimbing,Doomscroll,No matching,1,35,11,p344r6p348r8p356r6p362r6p366r8p367r8p372r6p374r7p380r5p382r6
tensionclimbing,Doomscroll,No matching,1,40,12,p344r6p348r8p356r6p362r6p366r8p367r8p372r6p374r7p380r5p382r6
tensionclimbing,Doomscroll,No matching,1,45,12,p344r6p348r8p356r6p362r6p366r8p367r8p372r6p374r7p380r5p382r6
tensionclimbing,Further,,0,35,17,p308r6p447r8p547r8p567r8p575r5p697r5p710r6p711r7p725r6p728r8
tensionclimbing,Further,,0,40,15,p308r6p447r8p547r8p567r8p575r5p697r5p710r6p711r7p725r6p728r8
tensionclimbing,Further,,0,45,16,p308r6p447r8p547r8p567r8p575r5p697r5p710r6p711r7p725r6p728r8
tensionclimbing,Impulsively,No matching,1,45,19,p304r8p358r8p366r8p389r6p416r8p427r7p553r6p569r5p642r6p683r5
tensionclimbing,Technicolor Daydreaming,No matching.,1,40,20,p467r8p484r8p690r8p707r6p739r6p740r6p774r5p781r6p786r7p794r8
tensionclimbing,Vindicated,No Matching,1,35,15,p307r6p318r8p351r5p366r8p436r8p465r6p472r6p474r6p476r8p480r6p484r8p489r6p549r8p683r5p711r7p713r8
tensionclimbing,Vindicated,No Matching,1,40,15,p307r6p318r8p351r5p366r8p436r8p465r6p472r6p474r6p476r8p480r6p484r8p489r6p549r8p683r5p711r7p713r8
bennykuttler1285,Back in the Day,No matching,1,40,18,p314r6p320r5p336r8p430r6p456r8p459r6p492r7p585r6p683r5p689r8p725r6p737r8
nelldell,$2 lap dance 💃🕺,No Match,1,40,20,p311r6p320r5p366r8p372r7p445r5p462r6p468r8p570r6
adapap,Anello,,0,35,15,p305r5p308r6p383r8p468r8p552r6p579r8p585r8p589r7p603r6p683r6p701r8p704r5p715r6
bennykuttler1285,Sleeping Beauty,No matching,1,45,21,p319r8p336r8p352r5p367r8p442r6p450r6p475r7p577r6p585r6p614r5p682r8
iansutherland,Dust Storm,,0,35,21,p304r8p321r6p350r8p367r8p432r6p434r6p487r6p582r5p711r7
iansutherland,Dust Storm,,0,40,22,p304r8p321r6p350r8p367r8p432r6p434r6p487r6p582r5p711r7
iansutherland,Dust Storm,,0,45,24,p304r8p321r6p350r8p367r8p432r6p434r6p487r6p582r5p711r7
bennykuttler1285,Slow Down,,0,40,13,p304r8p305r5p307r6p316r6p318r8p437r8p443r6p451r6p462r6p463r6p589r7p692r6p701r8
iansutherland,Dancing in the Moonlight,No match,1,35,17,p310r8p318r8p380r5p466r8p487r6p557r7p561r6p680r8p683r6p692r6p726r6p739r6
iansutherland,Dancing in the Moonlight,No match,1,40,18,p310r8p318r8p380r5p466r8p487r6p557r7p561r6p680r8p683r6p692r6p726r6p739r6
gusclimbs,Jumby,,0,45,19,p305r5p308r6p329r8p579r8p701r8p711r7p715r6
jenniferrenaud,Get Tight,No match,1,40,22,p318r8p429r8p444r7p463r6p464r6p468r5p499r8p683r5p740r6
paulcorsaro,Control For Smilers,,0,40,14,p305r5p344r6p348r8p557r7p563r8p567r8p570r6p594r6p604r6
dadlaitb2,Raptor Retractor,Ethan chase Tim daniels Adlai team set you know you love it you rascals!,0,40,28,p348r8p482r6p554r6p569r6p576r6p652r5p724r6p800r7
iansutherland,Cuff It,No match,1,50,18,p305r5p429r8p462r6p579r8p701r8p711r7p724r6p739r6p740r6
iansutherland,Squeegee,No match,1,40,20,p333r6p341r6p345r6p381r8p444r7p484r8p497r8p612r8p697r6p701r8p704r5p715r6
nicholson.brendan,Horseshoe,,0,25,13,p308r6p356r6p372r6p374r7p462r6p466r8p472r6p484r8p497r8p498r5p549r8p585r8p591r8
nicholson.brendan,Horseshoe,,0,40,15,p308r6p356r6p372r6p374r7p462r6p466r8p472r6p484r8p497r8p498r5p549r8p585r8p591r8
nicholson.brendan,Thunder Bolt,,0,35,17,p304r8p438r5p552r6p559r5p579r8p697r6p701r8p725r6p729r6p740r6p758r7
fullofrice,Repentance,No Match,1,40,22,p380r5p458r6p482r6p500r6p547r8p557r7p561r6p683r6
ElCash,Kouign-Amann,,0,40,24,p336r8p429r6p594r6p622r6p636r7p704r5p750r8
nik.vukovich,patience is a virtue,,0,40,18,p326r7p462r6p498r5p549r8p554r6p695r6p701r8p715r6
ebrudney,portsmouth,,0,25,13,p304r8p308r6p333r6p344r5p367r8p437r8p443r6p448r8p486r8p492r7p561r5p579r8p592r6p593r6p626r8p725r6
